loincId	loincScale	system	code	hpoTermId	inversed	note	flag	version	createdOn	createdBy	lastEditedOn	lastEditedBy
2823-3	Qn	http://jax.org/loinc2hpo	P	HP:0002153	FALSE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
2823-3	Qn	http://jax.org/loinc2hpo	L	HP:0002900	FALSE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
2823-3	Qn	http://jax.org/loinc2hpo	NP	HP:0011042	TRUE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
2823-3	Qn	http://jax.org/loinc2hpo	N	HP:0011042	TRUE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
2823-3	Qn	http://jax.org/loinc2hpo	H	HP:0002153	FALSE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
2823-3	Qn	http://jax.org/loinc2hpo	A	HP:0011042	FALSE		FALSE	0.1	2018-03-20T15:34:05	JGM:Aaron	null	null
718-7	Qn	http://jax.org/loinc2hpo	P	HP:0001900	FALSE	"waiting for ""Decreased hemoglobin"""	TRUE	0.2	2018-03-20T15:39:40	JGM:Aaron	2018-03-20T15:40:29	?
718-7	Qn	http://jax.org/loinc2hpo	NP	HP:0011902	TRUE	"waiting for ""Decreased hemoglobin"""	TRUE	0.2	2018-03-20T15:39:40	JGM:Aaron	2018-03-20T15:40:29	?
718-7	Qn	http://jax.org/loinc2hpo	N	HP:0011902	TRUE	"waiting for ""Decreased hemoglobin"""	TRUE	0.2	2018-03-20T15:39:40	JGM:Aaron	2018-03-20T15:40:29	?
718-7	Qn	http://jax.org/loinc2hpo	H	HP:0001900	FALSE	"waiting for ""Decreased hemoglobin"""	TRUE	0.2	2018-03-20T15:39:40	JGM:Aaron	2018-03-20T15:40:29	?
718-7	Qn	http://jax.org/loinc2hpo	A	HP:0011902	FALSE	"waiting for ""Decreased hemoglobin"""	TRUE	0.2	2018-03-20T15:39:40	JGM:Aaron	2018-03-20T15:40:29	?
2160-0	Qn	http://jax.org/loinc2hpo	P	HP:0003259	FALSE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2160-0	Qn	http://jax.org/loinc2hpo	L	HP:0012101	FALSE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2160-0	Qn	http://jax.org/loinc2hpo	NP	HP:0012100	TRUE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2160-0	Qn	http://jax.org/loinc2hpo	N	HP:0012100	TRUE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2160-0	Qn	http://jax.org/loinc2hpo	H	HP:0003259	FALSE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2160-0	Qn	http://jax.org/loinc2hpo	A	HP:0012100	FALSE		FALSE	0.1	2018-03-20T15:41:16	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	P	HP:0011423	FALSE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	L	HP:0003113	FALSE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	NP	HP:0011422	TRUE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	N	HP:0011422	TRUE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	H	HP:0011423	FALSE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
2075-0	Qn	http://jax.org/loinc2hpo	A	HP:0011422	FALSE		FALSE	0.1	2018-03-20T15:41:38	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	P	HP:0001894	FALSE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	L	HP:0001873	FALSE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	NP	HP:0011873	TRUE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	N	HP:0011873	TRUE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	H	HP:0001894	FALSE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
777-3	Qn	http://jax.org/loinc2hpo	A	HP:0011873	FALSE		FALSE	0.1	2018-03-20T15:43:05	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	P	HP:0005518	FALSE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	L	HP:0025066	FALSE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	NP	HP:0025065	TRUE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	N	HP:0025065	TRUE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	H	HP:0005518	FALSE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
787-2	Qn	http://jax.org/loinc2hpo	A	HP:0025065	FALSE		FALSE	0.1	2018-03-20T15:43:27	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	P	HP:0003228	FALSE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	L	HP:0002902	FALSE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	NP	HP:0010931	TRUE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	N	HP:0010931	TRUE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	H	HP:0003228	FALSE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
2951-2	Qn	http://jax.org/loinc2hpo	A	HP:0010931	FALSE		FALSE	0.1	2018-03-20T15:45:35	JGM:Aaron	null	null
3094-0	Qn	http://jax.org/loinc2hpo	P	HP:0003138	FALSE	"It does not make sense to have ""decrease urea nitrogen"" (?)"	TRUE	0.1	2018-03-20T15:46:57	JGM:Aaron	null	null
3094-0	Qn	http://jax.org/loinc2hpo	NP	HP:0002157	TRUE	"It does not make sense to have ""decrease urea nitrogen"" (?)"	TRUE	0.1	2018-03-20T15:46:57	JGM:Aaron	null	null
3094-0	Qn	http://jax.org/loinc2hpo	N	HP:0002157	TRUE	"It does not make sense to have ""decrease urea nitrogen"" (?)"	TRUE	0.1	2018-03-20T15:46:57	JGM:Aaron	null	null
3094-0	Qn	http://jax.org/loinc2hpo	H	HP:0003138	FALSE	"It does not make sense to have ""decrease urea nitrogen"" (?)"	TRUE	0.1	2018-03-20T15:46:57	JGM:Aaron	null	null
3094-0	Qn	http://jax.org/loinc2hpo	A	HP:0002157	FALSE	"It does not make sense to have ""decrease urea nitrogen"" (?)"	TRUE	0.1	2018-03-20T15:46:57	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	P	HP:0003074	FALSE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	L	HP:0001943	FALSE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	NP	HP:0011015	TRUE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	N	HP:0011015	TRUE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	H	HP:0003074	FALSE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
2345-7	Qn	http://jax.org/loinc2hpo	A	HP:0011015	FALSE		FALSE	0.1	2018-03-20T15:47:30	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	P	HP:0003072	FALSE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	L	HP:0002901	FALSE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	NP	HP:0040077	TRUE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	N	HP:0040077	TRUE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	H	HP:0003072	FALSE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
17861-6	Qn	http://jax.org/loinc2hpo	A	HP:0040077	FALSE		FALSE	0.1	2018-03-20T15:47:46	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	P	HP:0012416	FALSE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	L	HP:0012417	FALSE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	NP	HP:0012415	TRUE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	N	HP:0012415	TRUE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	H	HP:0012416	FALSE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
2028-9	Qn	http://jax.org/loinc2hpo	A	HP:0012415	FALSE		FALSE	0.1	2018-03-20T15:49:39	JGM:Aaron	null	null
