loincId	loincScale	outcome	hpoTermId	supplementalTermId	curation	comment
600-7	Nom	H	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
600-7	Nom	POS	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
600-7	Nom	NEG	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
600-7	Nom	N	HP:0031864	.	HPO:nvasilevsky[2018-05-10]	.
630-4	Nom	H	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
630-4	Nom	POS	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
630-4	Nom	NEG	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
630-4	Nom	N	HP:0012461	.	JGM:lccarmody[2018-09-17]	.
702-1	Ord	NEG	HP:0011273	.	HPO:nvasilevsky[2018-04-03];JGM:azhang[2018-10-17]	.
702-1	Ord	POS	HP:0011273	.	HPO:nvasilevsky[2018-04-03];JGM:azhang[2018-10-17]	.
703-9	Ord	NEG	HP:0020081	.	HPO:nvasilevsky[2019-05-28]	.
703-9	Ord	POS	HP:0020081	.	HPO:nvasilevsky[2019-05-28]	.
704-7	Qn	L	HP:0031808	.	HPO:probinson[2018-06-28]	.
704-7	Qn	N	HP:0031806	.	HPO:probinson[2018-06-28]	.
704-7	Qn	H	HP:0031807	.	HPO:probinson[2018-06-28]	.
705-4	Qn	L	HP:0031808	.	HPO:probinson[2018-06-28]	.
705-4	Qn	N	HP:0031806	.	HPO:probinson[2018-06-28]	.
705-4	Qn	H	HP:0031807	.	HPO:probinson[2018-06-28]	.
706-2	Qn	L	HP:0031808	.	JGM:azhang[2018-09-25]	.
706-2	Qn	N	HP:0031806	.	JGM:azhang[2018-09-25]	.
706-2	Qn	H	HP:0031807	.	JGM:azhang[2018-09-25]	.
707-0	Qn	L	HP:0031808	.	JGM:lccarmody[2018-09-14]	.
707-0	Qn	N	HP:0031806	.	JGM:lccarmody[2018-09-14]	.
707-0	Qn	H	HP:0031807	.	JGM:lccarmody[2018-09-14]	.
708-8	Qn	N	HP:0011893	.	HPO:nvasilevsky[2019-07-02]	.
708-8	Qn	H	HP:0032372	.	HPO:nvasilevsky[2019-07-02]	.
709-6	Qn	N	HP:0032372	.	JGM:azhang[2019-05-03]	.
709-6	Qn	H	HP:0032372	.	JGM:azhang[2019-05-03]	.
711-2	Qn	N	HP:0001879	.	JGM:Aaron[2018-03-27]	.
711-2	Qn	H	HP:0001880	.	JGM:Aaron[2018-03-27]	.
712-0	Qn	N	HP:0001879	.	JGM:Aaron[2018-03-27]	.
712-0	Qn	H	HP:0001880	.	JGM:Aaron[2018-03-27]	.
713-8	Qn	L	HP:0031891	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
713-8	Qn	N	HP:0001879	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
713-8	Qn	H	HP:0001880	.	JGM:lccarmody[2018-09-14]	copied from: 714-6
714-6	Qn	L	HP:0031891	.	JGM:lccarmody[2018-09-14]	.
714-6	Qn	N	HP:0001879	.	JGM:lccarmody[2018-09-14]	.
714-6	Qn	H	HP:0001880	.	JGM:lccarmody[2018-09-14]	.
718-7	Qn	L	HP:0020062	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
718-7	Qn	N	HP:0020061	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
718-7	Qn	H	HP:0020063	.	JGM:Aaron[2018-03-20];JGM:azhang[2018-10-17]	.
721-1	Qn	N	HP:0011902	.	UCD:tjcallahan[2019-02-23]	.
721-1	Qn	H	HP:0001900	.	UCD:tjcallahan[2019-02-23]	.
725-2	Ord	NEG	HP:0003641	.	JGM:azhang[2018-07-24]	.
725-2	Ord	POS	HP:0003641	.	JGM:azhang[2018-07-24]	.
726-0	Qn	N	HP:0003641	.	JGM:azhang[2018-07-24];JGM:azhang[2018-10-17]	.
726-0	Qn	H	HP:0003641	.	JGM:azhang[2018-07-24];JGM:azhang[2018-10-17]	.
728-6	Ord	NEG	HP:0001931	.	HPO:nvasilevsky[2018-09-26]	.
728-6	Ord	POS	HP:0001931	.	HPO:nvasilevsky[2018-09-26]	.
729-4	Qn	N	HP:0011893	.	HPO:nvasilevsky[2019-05-21]	.
729-4	Qn	H	HP:0001974	.	HPO:nvasilevsky[2019-05-21]	.
731-0	Qn	L	HP:0001888	.	JGM:Aaron[2018-03-22]	.
731-0	Qn	N	HP:0040088	.	JGM:Aaron[2018-03-22]	.
731-0	Qn	H	HP:0100827	.	JGM:Aaron[2018-03-22]	.
735-1	Qn	N	HP:0004332	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
735-1	Qn	H	HP:0004332	.	UCD:tjcallahan[2019-02-01]	UCDenver survey results
736-9	Qn	L	HP:0001888	.	JGM:azhang[2018-09-25]	.
736-9	Qn	N	HP:0040088	.	JGM:azhang[2018-09-25]	.
736-9	Qn	H	HP:0100827	.	JGM:azhang[2018-09-25]	.
737-7	Qn	L	HP:0001888	.	JGM:azhang[2018-09-25]	.
737-7	Qn	N	HP:0040088	.	JGM:azhang[2018-09-25]	.
737-7	Qn	H	HP:0100827	.	JGM:azhang[2018-09-25]	.
738-5	Ord	NEG	HP:0001972	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
738-5	Ord	POS	HP:0001972	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
739-3	Qn	N	HP:0032238	.	UCD:tjcallahan[2019-02-23];JGM:azhang[2019-05-03]	.
739-3	Qn	H	HP:0032238	.	UCD:tjcallahan[2019-02-23];JGM:azhang[2019-05-03]	.
740-1	Qn	N	HP:0012137	.	UCD:tjcallahan[2019-02-23]	.
740-1	Qn	H	HP:0032238	.	UCD:tjcallahan[2019-02-23]	.
741-9	Ord	NEG	HP:0001935	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
741-9	Ord	POS	HP:0001935	.	JGM:azhang[2018-04-06];JGM:azhang[2018-10-17]	.
742-7	Qn	L	HP:0012312	.	JGM:Aaron[2018-03-22]	.
742-7	Qn	N	HP:0012310	.	JGM:Aaron[2018-03-22]	.
742-7	Qn	H	HP:0012311	.	JGM:Aaron[2018-03-22]	.
744-3	Qn	L	HP:0012312	.	JGM:azhang[2018-09-25]	.
744-3	Qn	N	HP:0012310	.	JGM:azhang[2018-09-25]	.
744-3	Qn	H	HP:0012311	.	JGM:azhang[2018-09-25]	.
748-4	Qn	N	HP:0010974	.	UCD:tjcallahan[2019-02-23]	.
748-4	Qn	H	HP:0032237	.	UCD:tjcallahan[2019-02-23]	.
749-2	Qn	N	HP:0010974	.	UCD:tjcallahan[2019-02-23]	.
749-2	Qn	H	HP:0032237	.	UCD:tjcallahan[2019-02-23]	.
